date,year,Tank,total consumer (g C m2),Total primary (g C m2),CO2 flux (mg C m2 d-1),Nutrients,Fish,Warming
oct,2010,D2,0.016820001,0.482663799,-3.905206119,yes,yes,yes
oct,2010,D3,0.549047674,0.409361066,23.51862466,no,yes,yes
oct,2010,D4,0.096469117,0.612530646,-76.80608593,no,yes,no
oct,2010,D5,0.017791428,24.95966567,-126.6425202,yes,yes,no
oct,2010,E1,0.554787975,1.210141806,52.25203488,yes,no,yes
oct,2010,E2,1.383320356,0.383787838,-33.8571829,yes,no,yes
oct,2010,E3,0.028298289,0.333410114,12.16931956,no,no,no
oct,2010,E4,0.015518018,0.568462895,-7.751419409,no,yes,yes
oct,2010,E5,0.374851249,0.452062779,74.13614547,yes,no,yes
oct,2010,F1,0.094324439,0.349797429,-16.0803939,no,no,yes
oct,2010,F2,0.117222988,0.530245171,-58.07321548,yes,yes,yes
oct,2010,F3,0.025039016,0.794202131,-17.72460396,yes,yes,yes
oct,2010,F4,0.491980451,0.319389352,42.93620588,no,yes,yes
oct,2010,F5,0.281498878,0.486843695,-17.29755749,no,no,no
oct,2010,G1,0.114856356,1.134148695,-59.89651833,yes,no,no
oct,2010,G2,0.035911533,0.232497684,23.86940309,no,no,yes
oct,2010,G3,0.00362688,2.769116127,-126.6052602,yes,yes,no
oct,2010,G4,0.232939135,1.981451983,-40.64326554,yes,no,no
oct,2010,G5,0.028781909,26.6551506,-140.272284,yes,yes,no
oct,2010,H1,0.05603498,0.157440418,16.32310962,no,no,yes
oct,2010,H2,0.089467379,1.139652754,-139.0648035,yes,no,no
oct,2010,H3,0.048969596,0.717220889,-83.34403339,no,yes,no
oct,2010,H4,0.077606744,0.552669792,15.07803901,no,no,no
oct,2010,H5,0.002855051,0.728325401,-126.736528,no,yes,no
